NM2,NM3,NM4,NM5,IDN5
Košický,Michalovce,Michalovce,Michalovce,"836915"
Košický,Michalovce,Michalovce,Stráňany,"837075"
Košický,Michalovce,Michalovce,Vrbovec,"837156"
Košický,Michalovce,Michalovce,Močarany,"837318"
Košický,Michalovce,Michalovce,Topoľany,"837431"
Prešovský,Prešov,Miklušovce,Miklušovce,"837504"
Prešovský,Stropkov,Miková,Miková,"837512"
Prešovský,Bardejov,Mikulášová,Mikulášová,"837521"
Trenčiansky,Ilava,Mikušovce,Mikušovce pri Pruskom,"837539"
Nitriansky,Nové Zámky,Veľký Kýr,Veľký Kýr,"837547"
Košický,Trebišov,Trebišov,Milhostov,"837563"
Trenčiansky,Považská Bystrica,Považská Bystrica,Milochov,"837571"
Bratislavský,Senec,Miloslavov,Miloslavov,"837628"
Prešovský,Sabinov,Milpoš,Milpoš,"837636"
Prešovský,Stropkov,Miňovce,Miňovce,"837644"
Prešovský,Prešov,Mirkovce,Mirkovce,"837661"
Prešovský,Svidník,Miroľa,Miroľa,"837687"
Banskobystrický,Poltár,Mládzovo,Mládzovo,"837695"
Trnavský,Dunajská Streda,Šamorín,Bučuháza,"837709"
Trnavský,Dunajská Streda,Šamorín,Kráľovianky,"837717"
Trnavský,Dunajská Streda,Šamorín,Mliečno,"837725"
Prešovský,Svidník,Mlynárovce,Mlynárovce,"837741"
Prešovský,Kežmarok,Mlynčeky,Mlynčeky,"837750"
Prešovský,Poprad,Mlynica,Mlynica,"837784"
Košický,Spišská Nová Ves,Mlynky,Mlynky,"837814"
Trenčiansky,Trenčín,Mníchova Lehota,Mníchova Lehota,"837873"
Košický,Gelnica,Mníšek nad Hnilcom,Mníšek nad Hnilcom,"837890"
Prešovský,Stará Ľubovňa,Mníšek nad Popradom,Mníšek nad Popradom,"837920"
Prešovský,Stará Ľubovňa,Mníšek nad Popradom,Pilhov,"837938"
Nitriansky,Komárno,Moča,Moča,"837954"
Banskobystrický,Banská Štiavnica,Močiar,Močiar,"837989"
Prešovský,Sabinov,Jarovnice,Močidľany,"838004"
Bratislavský,Pezinok,Modra,Modra,"838039"
Prešovský,Humenné,Modra nad Cirochou,Modra nad Cirochou,"838063"
Trnavský,Trnava,Trnava,Modranka,"838071"
Nitriansky,Komárno,Modrany,Modrany,"838080"
Trenčiansky,Nové Mesto nad Váhom,Modrová,Modrová,"838098"
Trenčiansky,Nové Mesto nad Váhom,Modrovka,Modrovka,"838101"
Banskobystrický,Veľký Krtíš,Modrý Kameň,Modrý Kameň,"838128"
Nitriansky,Levice,Kalná nad Hronom,Mochovce,"838152"
Banskobystrický,Rimavská Sobota,Rimavská Sobota,Mojín,"838161"
Nitriansky,Nitra,Mojmírovce,Mojmírovce,"838179"
Žilinský,Žilina,Mojš,Mojš,"838187"
Žilinský,Žilina,Žilina,Mojšova Lúčka,"838195"
Trenčiansky,Púchov,Mojtín,Mojtín,"838217"
Nitriansky,Nové Zámky,Mojzesovo,Mojzesovo,"838225"
Banskobystrický,Revúca,Mokrá Lúka,Mokrá Lúka,"838233"
Žilinský,Dolný Kubín,Dolný Kubín,Mokraď,"838241"
Žilinský,Dolný Kubín,Dolný Kubín,Mokradská Hoľa,"838250"
Košický,Košice - okolie,Mokrance,Mokrance,"838268"
Prešovský,Bardejov,Mokroluh,Mokroluh,"838276"
Trnavský,Skalica,Mokrý Háj,Mokrý Háj,"838284"
Banskobystrický,Banská Bystrica,Môlča,Môlča,"838306"
Košický,Košice - okolie,Moldava nad Bodvou,Moldava nad Bodvou,"838322"
Košický,Michalovce,Moravany,Moravany,"838411"
Trnavský,Piešťany,Moravany nad Váhom,Moravany nad Váhom,"838420"
Trenčiansky,Nové Mesto nad Váhom,Moravské Lieskové,Moravské Lieskové,"838454"
Trnavský,Senica,Moravský Svätý Ján,Moravský Svätý Ján,"838489"
Trenčiansky,Prievidza,Handlová,Morovno,"838501"
Bratislavský,Senec,Most pri Bratislave,Studené,"838519"
Bratislavský,Senec,Most pri Bratislave,Most pri Bratislave,"838527"
Trenčiansky,Púchov,Dohňany,Mostište,"838535"
Trnavský,Galanta,Mostová,Mostová,"838543"
Trnavský,Galanta,Mostová,Šoriakoš,"838551"
Žilinský,Turčianske Teplice,Moškovec,Moškovec,"838560"
Žilinský,Turčianske Teplice,Mošovce,Mošovce,"838578"
Banskobystrický,Banská Bystrica,Moštenica,Moštenica,"838586"
Prešovský,Prešov,Mošurov,Mošurov,"838594"
Trenčiansky,Trenčín,Motešice,Dolné Motešice,"838608"
Trenčiansky,Trenčín,Motešice,Horné Motešice,"838616"
Banskobystrický,Banská Bystrica,Motyčky,Motyčky,"838659"
Prešovský,Stropkov,Mrázovce,Mrázovce,"838683"
Banskobystrický,Lučenec,Mučín,Mučín,"838691"
Nitriansky,Komárno,Mudroňovo,Mudroňovo,"838721"
Košický,Košice - okolie,Mudrovce,Mudrovce,"838730"
Banskobystrický,Veľký Krtíš,Muľa,Muľa,"838756"
Banskobystrický,Lučenec,Trebeľovce,Muľka,"838764"
Banskobystrický,Revúca,Muráň,Muráň,"838772"
Banskobystrický,Revúca,Muránska Dlhá Lúka,Muránska Dlhá Lúka,"838799"
Banskobystrický,Revúca,Muránska Huta,Muránska Huta,"838802"
Banskobystrický,Revúca,Muránska Lehota,Muránska Lehota,"838811"
Banskobystrický,Revúca,Muránska Zdychava,Muránska Zdychava,"838829"
Žilinský,Námestovo,Mútne,Mútne,"838837"
Nitriansky,Nové Zámky,Mužla,Mužla,"838896"
Trenčiansky,Myjava,Myjava,Myjava,"838926"
Bratislavský,Pezinok,Pezinok,Grinava,"839019"
Prešovský,Humenné,Myslina,Myslina,"839027"
Banskobystrický,Lučenec,Mýtna,Mýtna,"839108"
Nitriansky,Topoľčany,Ludanice,Mýtna Nová Ves,"839124"
Nitriansky,Levice,Mýtne Ludany,Mýtne Ludany,"839141"
Banskobystrický,Brezno,Bystrá,Bystrá,"839159"
Banskobystrický,Brezno,Mýto pod Ďumbierom,Mýto pod Ďumbierom,"839175"
Košický,Michalovce,Nacina Ves,Nacina Ves,"839205"
Trenčiansky,Partizánske,Livina,Livina,"839221"
Trenčiansky,Partizánske,Nadlice,Nadlice,"839230"
Prešovský,Medzilaborce,Ňagov,Ňagov,"839248"
Trnavský,Trnava,Naháč,Naháč,"839256"
Košický,Gelnica,Nálepkovo,Nálepkovo,"839299"
Žilinský,Námestovo,Námestovo,Námestovo,"839345"
Žilinský,Námestovo,Námestovo,Slanica,"839353"
Žilinský,Námestovo,Námestovo,Námestovské Pilsko,"839361"
Banskobystrický,Revúca,Nandraž,Nandraž,"839370"
Trenčiansky,Partizánske,Partizánske,Návojovce,"839388"
Žilinský,Martin,Necpaly,Necpaly,"839400"
Trenčiansky,Partizánske,Nedanovce,Nedanovce,"839418"
Trenčiansky,Bánovce nad Bebravou,Nedašovce,Nedašovce,"839426"
Nitriansky,Šaľa,Neded,Neded,"839434"
Žilinský,Žilina,Nededza,Nededza,"839442"
Banskobystrický,Lučenec,Ábelová,Nedelište,"839451"
Trenčiansky,Prievidza,Nedožery-Brezany,Brezany,"839469"
Trenčiansky,Prievidza,Nedožery-Brezany,Nedožery,"839477"
Prešovský,Humenné,Nechválova Polianka,Nechválova Polianka,"839485"
Prešovský,Bardejov,Nemcovce,Nemcovce,"839493"
Prešovský,Prešov,Nemcovce,Nemcovce,"839507"
Nitriansky,Topoľčany,Nemčice,Nemčice,"839558"
Nitriansky,Zlaté Moravce,Nemčiňany,Nemčiňany,"839566"
Nitriansky,Zlaté Moravce,Nemčiňany,Rohožnica,"839574"
Banskobystrický,Brezno,Nemecká,Nemecká,"839591"
Nitriansky,Topoľčany,Nemečky,Nemečky,"839612"
Prešovský,Levoča,Nemešany,Nemešany,"839621"
Trenčiansky,Trenčín,Nemšová,Nemšová,"839639"
Banskobystrický,Veľký Krtíš,Nenince,Nenince,"839655"
Trenčiansky,Trenčín,Neporadza,Bošianska Neporadza,"839663"
Trenčiansky,Trenčín,Neporadza,Rožňová Neporadza,"839671"
Banskobystrický,Rimavská Sobota,Neporadza,Neporadza,"839680"
Žilinský,Kysucké Nové Mesto,Nesluša,Nesluša,"839728"
Nitriansky,Komárno,Nesvady,Nesvady,"839817"
Nitriansky,Zlaté Moravce,Neverice,Neverice,"839833"
Nitriansky,Zlaté Moravce,Nevidzany,Nevidzany,"839841"
Trenčiansky,Prievidza,Nevidzany,Nevidzany,"839850"
Banskobystrický,Žiar nad Hronom,Nevoľné,Nevoľné,"839868"
Trenčiansky,Púchov,Nimnica,Nimnica,"839884"
Nitriansky,Nitra,Nitra,Nitra,"839914"
Nitriansky,Nitra,Nitra,Horné Krškany,"840076"
Nitriansky,Nitra,Nitra,Párovské Háje,"840165"
Nitriansky,Nitra,Nitra,Kynek,"840203"
Nitriansky,Nitra,Nitra,Mlynárce,"840254"
Nitriansky,Nitra,Nitra,Zobor,"840319"
Nitriansky,Nitra,Nitra,Chrenová,"840378"
Nitriansky,Nitra,Nitra,Mikov dvor,"840564"
Banskobystrický,Lučenec,Nitra nad Ipľom,Nitra nad Ipľom,"840572"
Nitriansky,Nitra,Čechynce,Čechynce,"840581"
Nitriansky,Nitra,Malý Cetín,Malý Cetín,"840599"
Nitriansky,Topoľčany,Nitrianska Blatnica,Nitrianska Blatnica,"840602"
Nitriansky,Topoľčany,Nitrianska Streda,Nitrianska Streda,"840611"
Nitriansky,Nitra,Nitrianske Hrnčiarovce,Nitrianske Hrnčiarovce,"840653"
Trenčiansky,Prievidza,Nitrianske Pravno,Nitrianske Pravno,"840670"
Trenčiansky,Prievidza,Nitrianske Pravno,Solka,"840688"
Trenčiansky,Prievidza,Nitrianske Pravno,Vyšehradné,"840696"
Trenčiansky,Prievidza,Nitrianske Rudno,Nitrianske Rudno,"840700"
Trenčiansky,Prievidza,Nitrianske Sučany,Nitrianske Sučany,"840726"
Nitriansky,Nové Zámky,Šurany,Nitriansky Hrádok,"840734"
Trenčiansky,Prievidza,Nitrica,Dvorníky nad Nitricou,"840742"
Trenčiansky,Prievidza,Nitrica,Račice,"840751"
Trnavský,Piešťany,Nižná,Nižná,"840769"
Žilinský,Tvrdošín,Nižná,Nižná,"840777"
Žilinský,Liptovský Mikuláš,Nižná Boca,Nižná Boca,"840785"
Košický,Košice - okolie,Nižná Hutka,Nižná Hutka,"840793"
Prešovský,Humenné,Nižná Jablonka,Nižná Jablonka,"840807"
Prešovský,Svidník,Nižná Jedľová,Nižná Jedľová,"840815"
Košický,Košice - okolie,Nižná Kamenica,Nižná Kamenica,"840823"
Košický,Košice - okolie,Nižná Myšľa,Nižná Myšľa,"840840"
Prešovský,Stropkov,Nižná Olšava,Nižná Olšava,"840858"
Prešovský,Svidník,Nižná Pisaná,Nižná Pisaná,"840866"
Banskobystrický,Rimavská Sobota,Rimavská Sobota,Nižná Pokoradz,"840874"
Prešovský,Bardejov,Nižná Polianka,Nižná Polianka,"840882"
Košický,Sobrance,Nižná Rybnica,Nižná Rybnica,"840891"
Prešovský,Humenné,Nižná Sitnica,Nižná Sitnica,"840904"
Košický,Rožňava,Nižná Slaná,Nižná Slaná,"840912"
Prešovský,Prešov,Prešov,Nižná Šebastová,"840955"
Prešovský,Poprad,Šuňava,Nižná Šuňava,"840963"
Prešovský,Bardejov,Nižná Voľa,Nižná Voľa,"840971"
Prešovský,Humenné,Nižné Ladičkovce,Nižné Ladičkovce,"840980"
Košický,Sobrance,Nižné Nemecké,Nižné Nemecké,"840998"
Prešovský,Bardejov,Raslavice,Nižné Raslavice,"841021"
Prešovský,Levoča,Nižné Repaše,Nižné Repaše,"841030"
Prešovský,Stará Ľubovňa,Nižné Ružbachy,Nižné Ružbachy,"841048"
Banskobystrický,Rimavská Sobota,Valice,Nižné Valice,"841056"
Košický,Košice - okolie,Nižný Čaj,Nižný Čaj,"841064"
Prešovský,Vranov nad Topľou,Nižný Hrabovec,Nižný Hrabovec,"841072"
Prešovský,Vranov nad Topľou,Nižný Hrušov,Nižný Hrušov,"841099"
Košický,Košice - okolie,Nižný Klátov,Nižný Klátov,"841129"
Prešovský,Svidník,Nižný Komárnik,Nižný Komárnik,"841137"
Prešovský,Vranov nad Topľou,Nižný Kručov,Nižný Kručov,"841145"
Košický,Košice - okolie,Nižný Lánec,Nižný Lánec,"841153"
Prešovský,Svidník,Nižný Mirošov,Nižný Mirošov,"841161"
Prešovský,Svidník,Nižný Orlík,Nižný Orlík,"841170"
Prešovský,Sabinov,Nižný Slavkov,Nižný Slavkov,"841188"
Prešovský,Bardejov,Nižný Tvarožec,Nižný Tvarožec,"841196"
Košický,Trebišov,Nižný Žipov,Nižný Žipov,"841200"
Žilinský,Martin,Nolčovo,Nolčovo,"841218"
Nitriansky,Topoľčany,Norovce,Norovce,"841226"
Trenčiansky,Púchov,Púchov,Nosice,"841234"
Banskobystrický,Žarnovica,Nová Baňa,Nová Baňa,"841251"
Banskobystrický,Rimavská Sobota,Nová Bašta,Nová Bašta,"841447"
Košický,Košice - okolie,Hosťovce,Hosťovce,"841455"
Košický,Košice - okolie,Chorváty,Chorváty,"841463"
Košický,Košice - okolie,Turnianska Nová Ves,Turnianska Nová Ves,"841471"
Trenčiansky,Nové Mesto nad Váhom,Nová Bošáca,Nová Bošáca,"841501"
Žilinský,Čadca,Nová Bystrica,Nová Bystrica,"841633"
Nitriansky,Levice,Nová Dedina,Opatová,"841706"
Nitriansky,Levice,Nová Dedina,Tekovská Nová Ves,"841722"
Bratislavský,Senec,Nová Dedinka,Dedinka pri Dunaji,"841731"
Bratislavský,Senec,Nová Dedinka,Nová Ves pri Dunaji,"841749"
Trenčiansky,Ilava,Nová Dubnica,Nová Dubnica,"841757"
Prešovský,Vranov nad Topľou,Nová Kelča,Nová Kelča,"841765"
Trenčiansky,Nové Mesto nad Váhom,Nová Lehota,Nová Lehota,"841781"
Trenčiansky,Prievidza,Handlová,Nová Lehota,"841803"
Prešovský,Poprad,Nová Lesná,Nová Lesná,"841820"
Bratislavský,Senec,Dunajská Lužná,Nová Lipnica,"841838"
Prešovský,Stará Ľubovňa,Nová Ľubovňa,Nová Ľubovňa,"841846"
Košický,Košice - okolie,Nová Polhora,Nová Polhora,"841854"
Prešovský,Svidník,Nová Polianka,Nová Polianka,"841862"
Prešovský,Snina,Nová Sedlica,Nová Sedlica,"841871"
Nitriansky,Komárno,Komárno,Nová Stráž,"841901"
Banskobystrický,Veľký Krtíš,Nová Ves,Nová Ves,"841927"
Trenčiansky,Nové Mesto nad Váhom,Nová Ves nad Váhom,Nová Ves nad Váhom,"841935"
Nitriansky,Nitra,Nová Ves nad Žitavou,Nová Ves nad Žitavou,"841943"
Nitriansky,Nové Zámky,Nová Vieska,Nová Vieska,"841960"
Košický,Košice - okolie,Nováčany,Nováčany,"841978"
Trenčiansky,Prievidza,Nováky,Nováky,"842001"
Banskobystrický,Lučenec,Nové Hony,Nové Hony,"842010"
Bratislavský,Senec,Dunajská Lužná,Nové Košariská,"842036"
Trenčiansky,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Nové Mesto nad Váhom,"842044"
Trnavský,Galanta,Veľké Úľany,Nové Osady,"842265"
Nitriansky,Nitra,Nové Sady,Nové Sady,"842311"
Nitriansky,Nové Zámky,Nové Zámky,Nové Zámky,"842320"
Košický,Trebišov,Novosad,Novosad,"842851"
Žilinský,Námestovo,Novoť,Novoť,"842877"
Košický,Trebišov,Nový Ruskov,Malý Ruskov,"842893"
Košický,Trebišov,Nový Ruskov,Veľký Ruskov,"842907"
Košický,Košice - okolie,Nový Salaš,Nový Salaš,"842915"
Nitriansky,Levice,Nový Tekov,Marušová,"842923"
Nitriansky,Levice,Nový Tekov,Nový Tekov,"842931"
Trnavský,Dunajská Streda,Nový Život,Eliášovce,"842958"
Trnavský,Dunajská Streda,Nový Život,Malý Máger,"842966"
Trnavský,Dunajská Streda,Nový Život,Tonkovce,"842974"
Trnavský,Dunajská Streda,Nový Život,Vojtechovce,"842991"
Nitriansky,Levice,Nýrovce,Nýrovce,"843016"
Banskobystrický,Veľký Krtíš,Obeckov,Obeckov,"843024"
Nitriansky,Nové Zámky,Obid,Obid,"843032"
Košický,Košice - okolie,Obišovce,Obišovce,"843041"
Košický,Michalovce,Oborín,Kucany,"843059"
Košický,Michalovce,Oborín,Oborín,"843067"
Prešovský,Stará Ľubovňa,Obručné,Obručné,"843075"
Nitriansky,Topoľčany,Horné Obdokovce,Obsolovce,"843083"
Nitriansky,Zlaté Moravce,Obyce,Obyce,"843091"
Trenčiansky,Nové Mesto nad Váhom,Očkov,Očkov,"843105"
Banskobystrický,Zvolen,Očová,Očová,"843156"
Košický,Spišská Nová Ves,Odorín,Odorín,"843164"
Trnavský,Dunajská Streda,Ohrady,Ohrady,"843172"
Prešovský,Humenné,Ohradzany,Ohradzany,"843199"
Prešovský,Humenné,Sopkovce,Sopkovce,"843202"
Žilinský,Kysucké Nové Mesto,Ochodnica,Ochodnica,"843229"
Košický,Rožňava,Ochtiná,Ochtiná,"843261"
Trnavský,Dunajská Streda,Okoč,Okoč,"843300"
Nitriansky,Komárno,Okoličná na Ostrove,Okoličná na Ostrove,"843342"
Žilinský,Liptovský Mikuláš,Liptovský Mikuláš,Okoličné,"843385"
Prešovský,Svidník,Okrúhle,Okrúhle,"843415"
Prešovský,Svidník,Okrúhle,Šapinec,"843423"
Prešovský,Prešov,Okružná,Okružná,"843431"
Košický,Spišská Nová Ves,Olcnava,Olcnava,"843466"
Trnavský,Dunajská Streda,Oľdza,Oľdza,"843482"
Prešovský,Sabinov,Olejníkov,Olejníkov,"843504"
Žilinský,Čadca,Olešná,Olešná,"843610"
Žilinský,Čadca,Olešná,Burkov vrch,"843644"
Prešovský,Medzilaborce,Oľka,Krivá Oľka,"843661"
Prešovský,Medzilaborce,Oľka,Nižná Oľka,"843679"
Banskobystrický,Veľký Krtíš,Olováry,Olováry,"843687"
Prešovský,Bardejov,Oľšavce,Oľšavce,"843695"
Prešovský,Levoča,Oľšavica,Oľšavica,"843709"
Košický,Spišská Nová Ves,Oľšavka,Oľšavka,"843725"
Prešovský,Stropkov,Oľšavka,Oľšavka,"843733"
Prešovský,Medzilaborce,Oľšinkov,Oľšinkov,"843741"
Prešovský,Sabinov,Oľšov,Oľšov,"843750"
Košický,Košice - okolie,Olšovany,Olšovany,"843768"
Trenčiansky,Bánovce nad Bebravou,Omastiná,Omastiná,"843776"
Trenčiansky,Trenčín,Omšenie,Omšenie,"843792"
Prešovský,Bardejov,Ondavka,Ondavka,"843806"
Prešovský,Vranov nad Topľou,Ondavské Matiašovce,Ondavské Matiašovce,"843814"
Žilinský,Turčianske Teplice,Ondrašová,Ondrašová,"843822"
Prešovský,Prešov,Ondrašovce,Ondrašovce,"843831"
Nitriansky,Levice,Ondrejovce,Ondrejovce,"843849"
Košický,Košice - okolie,Opátka,Opátka,"843857"
Trenčiansky,Trenčín,Trenčín,Opatová,"843865"
Trenčiansky,Trenčín,Opatovce,Opatovce,"843873"
Trenčiansky,Prievidza,Opatovce nad Nitrou,Opatovce nad Nitrou,"843881"
Banskobystrický,Veľký Krtíš,Opatovská Nová Ves,Opatovská Nová Ves,"843903"
Trnavský,Dunajská Streda,Okoč,Opatovský Sokolec,"843946"
Banskobystrický,Veľký Krtíš,Opava,Opava,"843962"
Košický,Košice - okolie,Opiná,Opiná,"843997"
Trnavský,Trnava,Opoj,Opoj,"844004"
Nitriansky,Topoľčany,Oponice,Oponice,"844012"
Banskobystrický,Banská Bystrica,Oravce,Oravce,"844021"
Banskobystrický,Rimavská Sobota,Orávka,Orávka,"844039"
Žilinský,Námestovo,Oravská Jasenica,Oravská Jasenica,"844047"
Žilinský,Námestovo,Oravská Lesná,Oravská Lesná,"844110"
Žilinský,Námestovo,Oravská Polhora,Oravská Polhora,"844128"
Žilinský,Dolný Kubín,Oravská Poruba,Poruba-Geceľ,"844144"
Žilinský,Dolný Kubín,Oravská Poruba,Zábrež,"844152"
Žilinský,Námestovo,Oravské Veselé,Oravské Veselé,"844179"
Žilinský,Tvrdošín,Oravský Biely Potok,Oravský Biely Potok,"844195"
Žilinský,Dolný Kubín,Oravský Podzámok,Oravský Podzámok,"844209"
Prešovský,Levoča,Ordzovany,Ordzovany,"844225"
Košický,Sobrance,Orechová,Orechová,"844241"
Trnavský,Dunajská Streda,Orechová Potôň,Dolná Potôň,"844250"
Trnavský,Dunajská Streda,Orechová Potôň,Orechová Potôň,"844268"
Trnavský,Dunajská Streda,Vieska,Blatná lúka,"844276"
Trnavský,Dunajská Streda,Vieska,Vieska,"844284"
Trnavský,Skalica,Oreské,Oreské,"844314"
Košický,Michalovce,Oreské,Oreské,"844322"
Nitriansky,Topoľčany,Orešany,Orešany,"844331"
Prešovský,Sabinov,Sabinov,Orkucany,"844349"
Prešovský,Stará Ľubovňa,Orlov,Orlov,"844365"
Trenčiansky,Považská Bystrica,Považská Bystrica,Orlové,"844373"
Banskobystrický,Žarnovica,Orovnica,Orovnica,"844411"
Prešovský,Bardejov,Ortuťová,Ortuťová,"844420"
Žilinský,Dolný Kubín,Osádka,Osádka,"844438"
Prešovský,Snina,Osadné,Osadné,"844446"
Prešovský,Bardejov,Osikov,Osikov,"844454"
Trenčiansky,Prievidza,Oslany,Oslany,"844489"
Banskobystrický,Brezno,Osrblie,Osrblie,"844519"
Banskobystrický,Zvolen,Ostrá Lúka,Ostrá Lúka,"844527"
Trenčiansky,Partizánske,Ostratice,Malé Ostratice,"844543"
Trenčiansky,Partizánske,Ostratice,Veľké Ostratice,"844560"
Trnavský,Piešťany,Ostrov,Ostrov,"844578"
Košický,Sobrance,Ostrov,Ostrov,"844586"
Prešovský,Sabinov,Ostrovany,Ostrovany,"844608"
Prešovský,Snina,Stakčín,Ostrožnica,"844616"
Banskobystrický,Žarnovica,Ostrý Grúň,Ostrý Grúň,"844624"
Prešovský,Kežmarok,Osturňa,Osturňa,"844641"
Trnavský,Senica,Osuské,Osuské,"844659"
Žilinský,Čadca,Oščadnica,Oščadnica,"844748"
Žilinský,Kysucké Nové Mesto,Kysucké Nové Mesto,Oškerda,"844811"
Banskobystrický,Revúca,Otročok,Otročok,"844829"
Žilinský,Žilina,Ovčiarsko,Ovčiarsko,"844837"
Prešovský,Prešov,Ovčie,Ovčie,"844845"
Banskobystrický,Poltár,Ozdín,Ozdín,"844853"
Banskobystrický,Rimavská Sobota,Ožďany,Ožďany,"844918"
Trnavský,Trnava,Cífer,Pác,"844926"
Košický,Rožňava,Pača,Pača,"844934"
Trnavský,Dunajská Streda,Padáň,Padáň,"844942"
Banskobystrický,Rimavská Sobota,Padarovce,Padarovce,"844969"
Trnavský,Trnava,Jaslovské Bohunice,Paderovce,"844977"
Prešovský,Humenné,Pakostov,Pakostov,"844985"
Nitriansky,Nové Zámky,Palárikovo,Palárikovo,"845027"
Košický,Michalovce,Palín,Palín,"845230"
Trnavský,Dunajská Streda,Sap,Sap,"845248"
Prešovský,Medzilaborce,Palota,Palota,"845256"
Nitriansky,Nitra,Paňa,Paňa,"845272"
Banskobystrický,Lučenec,Panické Dravce,Panické Dravce,"845299"
Košický,Košice - okolie,Paňovce,Paňovce,"845302"
Prešovský,Humenné,Papín,Papín,"845311"
Trenčiansky,Považská Bystrica,Papradno,Papradno,"845337"
Košický,Trebišov,Parchovany,Parchovany,"845361"
Prešovský,Snina,Parihuzovce,Parihuzovce,"845370"
Žilinský,Dolný Kubín,Párnica,Párnica,"845388"
Žilinský,Liptovský Mikuláš,Partizánska Ľupča,Partizánska Ľupča,"845400"
Trenčiansky,Partizánske,Partizánske,Partizánske,"845426"
Nitriansky,Levice,Pastovce,Pastovce,"845566"
Trnavský,Hlohovec,Pastuchov,Pastuchov,"845591"
Trnavský,Dunajská Streda,Pataš,Pataš,"845612"
Košický,Rožňava,Pašková,Pašková,"845639"
Žilinský,Žilina,Paština Závada,Paština Závada,"845647"
Trnavský,Galanta,Pata,Pata,"845655"
Nitriansky,Komárno,Patince,Patince,"845663"
Žilinský,Liptovský Mikuláš,Pavčina Lehota,Pavčina Lehota,"845671"
Prešovský,Levoča,Pavľany,Pavľany,"845680"
Trnavský,Trnava,Pavlice,Pavlice,"845698"
Nitriansky,Nové Zámky,Pavlová,Pavlová,"845701"
Žilinský,Liptovský Mikuláš,Pavlova Ves,Pavlova Ves,"845710"
Žilinský,Liptovský Mikuláš,Pavlova Ves,Babky,"845728"
Banskobystrický,Rimavská Sobota,Pavlovce,Pavlovce,"845736"
Prešovský,Vranov nad Topľou,Pavlovce,Pavlovce,"845744"
Košický,Michalovce,Pavlovce nad Uhom,Pavlovce nad Uhom,"845787"
Trenčiansky,Partizánske,Pažiť,Pažiť,"845809"
Prešovský,Snina,Pčoliné,Pčoliné,"845817"
Trnavský,Piešťany,Pečeňady,Pečeňady,"845825"
Trenčiansky,Bánovce nad Bebravou,Pečeňany,Pečeňany,"845833"
Nitriansky,Levice,Pečenice,Pečenice,"845841"
Prešovský,Sabinov,Pečovská Nová Ves,Pečovská Nová Ves,"845876"
Košický,Košice - okolie,Peder,Peder,"845884"
Žilinský,Žilina,Dolný Hričov,Peklina,"845892"
Košický,Košice - okolie,Perín-Chym,Chym,"845914"
Košický,Košice - okolie,Perín-Chym,Perín,"845922"
Bratislavský,Malacky,Pernek,Pernek,"845931"
Prešovský,Vranov nad Topľou,Petkovce,Petkovce,"845949"
Trenčiansky,Trenčín,Motešice,Peťovka,"845957"
Košický,Michalovce,Petrikovce,Petrikovce,"845965"
Prešovský,Bardejov,Petrová,Petrová,"845981"
Trenčiansky,Trenčín,Petrova Lehota,Petrova Lehota,"845990"
Trnavský,Skalica,Petrova Ves,Petrova Ves,"846007"
Prešovský,Prešov,Petrovany,Močarmany,"846040"
Prešovský,Prešov,Petrovany,Petrovany,"846058"
Banskobystrický,Rimavská Sobota,Petrovce,Petrovce,"846074"
Košický,Sobrance,Petrovce,Petrovce,"846082"
Prešovský,Vranov nad Topľou,Petrovce,Petrovce,"846091"
Košický,Michalovce,Petrovce nad Laborcom,Petrovce nad Laborcom,"846112"
Žilinský,Bytča,Petrovice,Petrovice,"846121"
Žilinský,Bytča,Petrovice,Setechov,"846147"
Košický,Rožňava,Petrovo,Petrovo,"846155"
Bratislavský,Pezinok,Pezinok,Pezinok,"846163"
Trnavský,Piešťany,Piešťany,Piešťany,"846309"
Prešovský,Snina,Pichne,Pichne,"846546"
Bratislavský,Pezinok,Píla,Píla,"846554"
Banskobystrický,Lučenec,Píla,Píla,"846619"
Banskobystrický,Žarnovica,Píla,Píla,"846651"
Banskobystrický,Lučenec,Pinciná,Pinciná,"846660"
Košický,Sobrance,Pinkovce,Pinkovce,"846678"
Prešovský,Vranov nad Topľou,Piskorovce,Piskorovce,"846686"
Banskobystrický,Žiar nad Hronom,Pitelová,Pitelová,"846724"
Nitriansky,Levice,Plášťovce,Plášťovce,"846759"
Nitriansky,Levice,Plavé Vozokany,Plavé Vozokany,"846767"
Bratislavský,Malacky,Plavecké Podhradie,Plavecké Podhradie,"846775"
Bratislavský,Malacky,Plavecký Mikuláš,Plavecký Mikuláš,"846791"
Trnavský,Senica,Plavecký Peter,Plavecký Peter,"846805"
Bratislavský,Malacky,Plavecký Štvrtok,Plavecký Štvrtok,"846813"
Bratislavský,Malacky,Plavecký Štvrtok,Feld,"846821"
Prešovský,Stará Ľubovňa,Plaveč,Plaveč,"846848"
Prešovský,Stará Ľubovňa,Plavnica,Plavnica,"846872"
Košický,Trebišov,Plechotice,Plechotice,"846881"
Banskobystrický,Lučenec,Pleš,Pleš,"846899"
Košický,Trebišov,Svätuše,Svätuše,"846902"
Košický,Rožňava,Plešivec,Plešivec,"846929"
Trenčiansky,Považská Bystrica,Plevník-Drienové,Plevník-Drienové,"846945"
